state,action,reward,next_state
165,1,-0.0199,165
165,3,-0.0199,166
166,3,-0.0199,167
167,3,-0.0199,168
168,0,-0.0199,168
168,1,-0.0199,168
168,3,-0.0199,169
169,2,-0.0199,168
168,2,-0.0199,167
167,0,-0.0199,167
167,1,-0.0199,167
167,3,-0.0199,168
168,2,-0.0199,167
167,3,-0.0199,168
168,3,-0.0199,169
169,3,-0.0199,170
170,1,-0.0199,190
190,1,-0.0199,210
210,1,-0.0199,230
230,2,-0.0199,230
230,1,-0.0199,250
250,3,-0.0199,251
251,3,-0.0199,252
252,3,-0.0199,253
253,3,-0.0199,254
254,3,-0.0199,255
255,0,-0.0199,255
255,1,-0.0199,275
275,1,-0.0199,295
295,2,-0.0199,295
295,1,-0.0199,315
315,1,-0.0199,335
335,1,-0.0199,335
335,3,-0.0199,336
336,3,-0.0199,337
337,3,-0.0199,338
338,1,-0.0199,358
358,1,-0.0199,378
378,1,-0.0199,398
398,0,-0.0199,378
378,1,-0.0199,398
398,2,-0.0199,398
398,0,-0.0199,378
378,1,-0.0199,398
398,0,-0.0199,378
378,0,-0.0199,358
358,1,-0.0199,378
378,1,-0.0199,398
398,0,-0.0199,378
378,1,-0.0199,398
398,0,-0.0199,378
378,1,-0.0199,398
398,1,-0.0199,398
398,0,-0.0199,378
378,1,-0.0199,398
398,0,-0.0199,378
378,3,-0.0199,378
378,1,-0.0199,398
398,0,-0.0199,378
378,1,-0.0199,398
398,0,-0.0199,378
378,1,-0.0199,398
398,3,-0.0199,399
399,0,-0.0199,399
399,2,9.89,399
40,3,-0.0199,40
40,1,-0.0199,60
60,1,-0.0199,80
80,1,-0.0199,100
100,1,-0.0199,120
120,0,-0.0199,100
100,0,-0.0199,80
80,0,-0.0199,60
60,1,-0.0199,80
80,1,-0.0199,100
100,0,-0.0199,80
80,1,-0.0199,100
100,0,-0.0199,80
80,1,-0.0199,100
100,3,-0.0199,100
100,0,-0.0199,80
80,1,-0.0199,100
100,0,-0.0199,80
80,2,-0.0199,80
80,1,-0.0199,100
100,0,-0.0199,80
80,1,-0.0199,100
100,0,-0.0199,80
80,1,-0.0199,100
100,1,-0.0199,120
120,0,-0.0199,100
100,0,-0.0199,80
80,1,-0.0199,100
100,0,-0.0199,80
80,1,-0.0199,100
100,0,-0.0199,80
80,1,-0.0199,100
100,0,-0.0199,80
80,1,-0.0199,100
100,0,-0.0199,80
80,1,-0.0199,100
100,0,-0.0199,80
80,1,-0.0199,100
100,0,-0.0199,80
80,1,-0.0199,100
100,1,-0.0199,120
120,0,-0.0199,100
100,0,-0.0199,80
80,1,-0.0199,100
100,0,-0.0199,80
80,1,-0.0199,100
100,0,-0.0199,80
80,1,-0.0199,100
100,0,-0.0199,80
80,1,-0.0199,100
100,0,-0.0199,80
80,1,-0.0199,100
100,2,-0.0199,100
100,0,-0.0199,80
80,0,-0.0199,60
60,1,-0.0199,80
80,3,-0.0199,81
81,1,-0.0199,81
81,3,-0.0199,82
82,3,-0.0199,83
83,1,-0.0199,83
83,3,-0.0199,84
84,1,-0.0199,104
104,0,-0.0199,84
84,0,-0.0199,84
84,1,-0.0199,104
104,1,-0.0199,124
124,2,-0.0199,124
124,1,-0.0199,144
144,1,-0.0199,164
164,1,-0.0199,164
164,3,-0.0199,165
165,3,-0.0199,166
166,3,-0.0199,167
167,3,-0.0199,168
168,3,-0.0199,169
169,2,-0.0199,168
168,2,-0.0199,167
167,3,-0.0199,168
168,3,-0.0199,169
169,3,-0.0199,170
170,1,-0.0199,190
190,1,-0.0199,210
210,2,-0.0199,210
210,1,-0.0199,230
230,1,-0.0199,250
250,2,-0.0199,250
250,3,-0.0199,251
251,1,-0.0199,251
251,3,-0.0199,252
252,3,-0.0199,253
253,3,-0.0199,254
254,1,-0.0199,254
254,1,-0.0199,254
254,1,-0.0199,254
254,3,-0.0199,255
255,1,-0.0199,275
275,1,-0.0199,295
295,1,-0.0199,315
315,1,-0.0199,335
165,3,-0.0199,166
166,3,-0.0199,167
167,3,-0.0199,168
168,3,-0.0199,169
169,2,-0.0199,168
168,3,-0.0199,169
169,3,-0.0199,170
170,1,-0.0199,190
190,1,-0.0199,210
210,1,-0.0199,230
230,1,-0.0199,250
250,3,-0.0199,251
251,3,-0.0199,252
252,3,-0.0199,253
253,3,-0.0199,254
254,3,-0.0199,255
255,1,-0.0199,275
275,2,-0.0199,275
275,1,-0.0199,295
295,1,-0.0199,315
315,1,-0.0199,335
335,3,-0.0199,336
336,3,-0.0199,337
337,3,-0.0199,338
338,0,-0.0199,338
338,1,-0.0199,358
358,1,-0.0199,378
378,1,-0.0199,398
398,3,-0.0199,399
80,3,-0.0199,81
81,3,-0.0199,82
82,2,-0.0199,81
81,3,-0.0199,82
82,2,-0.0199,81
81,3,-0.0199,82
82,3,-0.0199,83
83,3,-0.0199,84
84,1,-0.0199,104
104,1,-0.0199,124
124,1,-0.0199,144
144,1,-0.0199,164
164,3,-0.0199,165
165,2,-0.0199,164
164,3,-0.0199,165
165,3,-0.0199,166
166,3,-0.0199,167
167,0,-0.0199,167
167,1,-0.0199,167
167,0,-0.0199,167
167,1,-0.0199,167
167,2,-0.0199,166
166,3,-0.0199,167
167,3,-0.0199,168
168,3,-0.0199,169
169,3,-0.0199,170
170,1,-0.0199,190
190,1,-0.0199,210
210,1,-0.0199,230
230,1,-0.0199,250
250,0,-0.0199,230
230,1,-0.0199,250
250,3,-0.0199,251
251,3,-0.0199,252
252,3,-0.0199,253
253,3,-0.0199,254
254,3,-0.0199,255
255,1,-0.0199,275
275,1,-0.0199,295
295,1,-0.0199,315
315,1,-0.0199,335
335,3,-0.0199,336
336,3,-0.0199,337
337,3,-0.0199,338
338,2,-0.0199,337
337,2,-0.0199,336
336,3,-0.0199,337
337,2,-0.0199,336
336,3,-0.0199,337
337,2,-0.0199,336
336,0,-0.0199,336
336,1,-0.0199,336
336,3,-0.0199,337
337,3,-0.0199,338
338,1,-0.0199,358
358,1,-0.0199,378
378,1,-0.0199,398
398,0,-0.0199,378
378,1,-0.0199,398
398,0,-0.0199,378
378,1,-0.0199,398
398,0,-0.0199,378
378,1,-0.0199,398
398,1,-0.0199,398
398,0,-0.0199,378
378,1,-0.0199,398
398,0,-0.0199,378
378,1,-0.0199,398
398,0,-0.0199,378
378,0,-0.0199,358
358,2,-0.0199,358
358,0,-0.0199,338
338,1,-0.0199,358
358,1,-0.0199,378
378,1,-0.0199,398
398,1,-0.0199,398
398,0,-0.0199,378
378,1,-0.0199,398
398,0,-0.0199,378
378,1,-0.0199,398
398,0,-0.0199,378
378,1,-0.0199,398
398,0,-0.0199,378
378,1,-0.0199,398
398,0,-0.0199,378
378,1,-0.0199,398
398,1,-0.0199,398
398,0,-0.0199,378
378,2,-0.0199,378
378,1,-0.0199,398
398,0,-0.0199,378
378,1,-0.0199,398
398,0,-0.0199,378
378,3,-0.0199,378
378,1,-0.0199,398
398,0,-0.0199,378
378,1,-0.0199,398
398,0,-0.0199,378
378,1,-0.0199,398
398,0,-0.0199,378
255,0,-0.0199,255
255,1,-0.0199,275
275,3,-0.0199,275
275,1,-0.0199,295
295,1,-0.0199,315
315,1,-0.0199,335
335,2,-0.0199,335
335,0,-0.0199,315
315,1,-0.0199,335
335,2,-0.0199,335
335,0,-0.0199,315
315,1,-0.0199,335
335,1,-0.0199,335
335,2,-0.0199,335
335,3,-0.0199,336
336,3,-0.0199,337
337,3,-0.0199,338
338,1,-0.0199,358
358,1,-0.0199,378
378,1,-0.0199,398
398,3,-0.0199,399
399,0,9.89,399
251,3,-0.0199,252
252,3,-0.0199,253
253,3,-0.0199,254
254,3,-0.0199,255
255,1,-0.0199,275
275,1,-0.0199,295
295,1,-0.0199,315
315,2,-0.0199,315
315,3,-0.0199,315
315,1,-0.0199,335
335,3,-0.0199,336
336,3,-0.0199,337
337,3,-0.0199,338
338,1,-0.0199,358
358,2,-0.0199,358
358,1,-0.0199,378
378,1,-0.0199,398
398,0,-0.0199,378
378,0,-0.0199,358
358,1,-0.0199,378
378,1,-0.0199,398
398,0,-0.0199,378
378,1,-0.0199,398
398,0,-0.0199,378
378,1,-0.0199,398
398,2,-0.0199,398
398,0,-0.0199,378
378,1,-0.0199,398
398,0,-0.0199,378
378,1,-0.0199,398
398,2,-0.0199,398
398,0,-0.0199,378
378,1,-0.0199,398
398,2,-0.0199,398
398,0,-0.0199,378
378,1,-0.0199,398
398,2,-0.0199,398
398,0,-0.0199,378
378,1,-0.0199,398
398,2,-0.0199,398
398,0,-0.0199,378
378,0,-0.0199,358
358,1,-0.0199,378
378,1,-0.0199,398
398,0,-0.0199,378
378,1,-0.0199,398
398,0,-0.0199,378
378,0,-0.0199,358
358,1,-0.0199,378
378,1,-0.0199,398
398,0,-0.0199,378
378,1,-0.0199,398
398,0,-0.0199,378
378,3,-0.0199,378
378,1,-0.0199,398
398,2,-0.0199,398
398,0,-0.0199,378
378,1,-0.0199,398
398,0,-0.0199,378
378,0,-0.0199,358
358,1,-0.0199,378
378,1,-0.0199,398
398,1,-0.0199,398
398,0,-0.0199,378
378,1,-0.0199,398
398,2,-0.0199,398
398,0,-0.0199,378
378,1,-0.0199,398
398,0,-0.0199,378
378,1,-0.0199,398
398,3,-0.0199,399
399,0,9.89,399
84,1,-0.0199,104
104,2,-0.0199,104
104,0,-0.0199,84
84,1,-0.0199,104
104,1,-0.0199,124
124,1,-0.0199,144
144,1,-0.0199,164
164,3,-0.0199,165
165,3,-0.0199,166
166,3,-0.0199,167
167,1,-0.0199,167
167,3,-0.0199,168
168,3,-0.0199,169
169,3,-0.0199,170
170,1,-0.0199,190
190,3,-0.0199,190
190,1,-0.0199,210
210,1,-0.0199,230
230,1,-0.0199,250
250,3,-0.0199,251
251,3,-0.0199,252
252,3,-0.0199,253
253,3,-0.0199,254
254,3,-0.0199,255
255,1,-0.0199,275
275,2,-0.0199,275
275,1,-0.0199,295
295,1,-0.0199,315
315,1,-0.0199,335
335,3,-0.0199,336
336,3,-0.0199,337
337,3,-0.0199,338
338,3,-0.0199,338
338,1,-0.0199,358
358,1,-0.0199,378
378,1,-0.0199,398
398,1,-0.0199,398
398,0,-0.0199,378
378,1,-0.0199,398
398,3,-0.0199,399
399,3,-0.0199,399
399,1,-0.0199,399
399,0,-0.0199,399
399,2,9.89,399
210,1,-0.0199,230
230,2,-0.0199,230
230,3,-0.0199,230
230,1,-0.0199,250
250,3,-0.0199,251
251,3,-0.0199,252
252,3,-0.0199,253
253,1,-0.0199,253
253,3,-0.0199,254
254,3,-0.0199,255
255,1,-0.0199,275
275,1,-0.0199,295
295,1,-0.0199,315
315,3,-0.0199,315
315,3,-0.0199,315
315,1,-0.0199,335
335,3,-0.0199,336
336,3,-0.0199,337
337,3,-0.0199,338
338,1,-0.0199,358
358,1,-0.0199,378
378,1,-0.0199,398
398,0,-0.0199,378
378,1,-0.0199,398
398,0,-0.0199,378
378,1,-0.0199,398
398,0,-0.0199,378
378,1,-0.0199,398
398,1,-0.0199,398
398,0,-0.0199,378
378,0,-0.0199,358
358,1,-0.0199,378
378,1,-0.0199,398
398,0,-0.0199,378
378,0,-0.0199,358
358,1,-0.0199,378
378,1,-0.0199,398
398,0,-0.0199,378
378,1,-0.0199,398
398,1,-0.0199,398
398,0,-0.0199,378
378,1,-0.0199,398
398,0,-0.0199,378
378,3,-0.0199,378
378,1,-0.0199,398
398,1,-0.0199,398
398,2,-0.0199,398
398,0,-0.0199,378
378,1,-0.0199,398
398,0,-0.0199,378
378,1,-0.0199,398
398,3,-0.0199,399
399,1,-0.0199,399
399,0,9.89,399
165,3,-0.0199,166
166,3,-0.0199,167
167,3,-0.0199,168
168,3,-0.0199,169
169,3,-0.0199,170
170,0,-0.0199,170
170,1,-0.0199,190
190,1,-0.0199,210
210,1,-0.0199,230
230,1,-0.0199,250
250,2,-0.0199,250
250,1,-0.0199,250
250,3,-0.0199,251
251,3,-0.0199,252
252,3,-0.0199,253
253,3,-0.0199,254
254,3,-0.0199,255
255,1,-0.0199,275
275,1,-0.0199,295
295,1,-0.0199,315
315,1,-0.0199,335
335,3,-0.0199,336
336,3,-0.0199,337
337,3,-0.0199,338
338,1,-0.0199,358
358,1,-0.0199,378
378,1,-0.0199,398
398,0,-0.0199,378
378,0,-0.0199,358
358,1,-0.0199,378
378,1,-0.0199,398
398,3,-0.0199,399
399,0,9.89,399
40,1,-0.0199,60
60,1,-0.0199,80
80,1,-0.0199,100
100,1,-0.0199,120
120,0,-0.0199,100
100,0,-0.0199,80
80,1,-0.0199,100
100,0,-0.0199,80
80,1,-0.0199,100
100,1,-0.0199,120
120,0,-0.0199,100
100,0,-0.0199,80
80,1,-0.0199,100
100,2,-0.0199,100
100,0,-0.0199,80
80,1,-0.0199,100
100,0,-0.0199,80
80,1,-0.0199,100
100,0,-0.0199,80
80,1,-0.0199,100
100,3,-0.0199,100
100,0,-0.0199,80
80,2,-0.0199,80
80,3,-0.0199,81
81,1,-0.0199,81
81,3,-0.0199,82
82,3,-0.0199,83
83,3,-0.0199,84
84,0,-0.0199,84
84,1,-0.0199,104
104,1,-0.0199,124
124,3,-0.0199,124
124,1,-0.0199,144
144,1,-0.0199,164
164,1,-0.0199,164
164,3,-0.0199,165
165,3,-0.0199,166
166,3,-0.0199,167
167,2,-0.0199,166
166,1,-0.0199,166
166,3,-0.0199,167
167,0,-0.0199,167
167,1,-0.0199,167
167,3,-0.0199,168
168,3,-0.0199,169
169,2,-0.0199,168
168,3,-0.0199,169
169,3,-0.0199,170
170,0,-0.0199,170
170,1,-0.0199,190
190,1,-0.0199,210
210,1,-0.0199,230
230,1,-0.0199,250
250,1,-0.0199,250
250,1,-0.0199,250
250,3,-0.0199,251
251,3,-0.0199,252
252,3,-0.0199,253
253,3,-0.0199,254
254,3,-0.0199,255
255,2,-0.0199,254
254,3,-0.0199,255
255,0,-0.0199,255
255,1,-0.0199,275
275,1,-0.0199,295
295,1,-0.0199,315
315,2,-0.0199,315
315,1,-0.0199,335
335,0,-0.0199,315
315,1,-0.0199,335
335,1,-0.0199,335
335,3,-0.0199,336
336,3,-0.0199,337
337,3,-0.0199,338
338,1,-0.0199,358
358,0,-0.0199,338
338,1,-0.0199,358
358,1,-0.0199,378
378,1,-0.0199,398
398,0,-0.0199,378
378,2,-0.0199,378
378,2,-0.0199,378
378,1,-0.0199,398
398,0,-0.0199,378
378,1,-0.0199,398
398,0,-0.0199,378
378,1,-0.0199,398
398,0,-0.0199,378
378,0,-0.0199,358
358,1,-0.0199,378
378,1,-0.0199,398
398,0,-0.0199,378
378,1,-0.0199,398
398,0,-0.0199,378
378,1,-0.0199,398
398,0,-0.0199,378
378,3,-0.0199,378
378,1,-0.0199,398
398,0,-0.0199,378
378,1,-0.0199,398
250,1,-0.0199,250
250,3,-0.0199,251
251,0,-0.0199,251
251,1,-0.0199,251
251,3,-0.0199,252
252,3,-0.0199,253
253,0,-0.0199,253
253,0,-0.0199,253
253,1,-0.0199,253
253,3,-0.0199,254
254,3,-0.0199,255
255,1,-0.0199,275
275,1,-0.0199,295
295,1,-0.0199,315
315,1,-0.0199,335
335,2,-0.0199,335
335,3,-0.0199,336
336,3,-0.0199,337
337,0,-0.0199,337
337,1,-0.0199,337
337,3,-0.0199,338
338,1,-0.0199,358
358,0,-0.0199,338
338,1,-0.0199,358
358,1,-0.0199,378
378,0,-0.0199,358
358,1,-0.0199,378
378,1,-0.0199,398
398,2,-0.0199,398
398,0,-0.0199,378
378,1,-0.0199,398
398,0,-0.0199,378
378,1,-0.0199,398
398,0,-0.0199,378
378,1,-0.0199,398
398,1,-0.0199,398
398,2,-0.0199,398
398,0,-0.0199,378
378,1,-0.0199,398
398,1,-0.0199,398
398,0,-0.0199,378
378,2,-0.0199,378
378,1,-0.0199,398
398,0,-0.0199,378
378,1,-0.0199,398
398,0,-0.0199,378
378,1,-0.0199,398
398,0,-0.0199,378
378,1,-0.0199,398
398,0,-0.0199,378
378,0,-0.0199,358
358,1,-0.0199,378
378,1,-0.0199,398
398,0,-0.0199,378
378,2,-0.0199,378
378,0,-0.0199,358
358,1,-0.0199,378
378,1,-0.0199,398
398,0,-0.0199,378
378,3,-0.0199,378
378,0,-0.0199,358
358,1,-0.0199,378
378,1,-0.0199,398
398,3,-0.0199,399
399,0,-0.0199,399
399,2,9.89,399
40,1,-0.0199,60
60,1,-0.0199,80
80,1,-0.0199,100
100,0,-0.0199,80
80,1,-0.0199,100
100,0,-0.0199,80
80,3,-0.0199,81
81,3,-0.0199,82
82,1,-0.0199,82
82,3,-0.0199,83
83,3,-0.0199,84
84,2,-0.0199,83
83,3,-0.0199,84
84,1,-0.0199,104
104,1,-0.0199,124
124,1,-0.0199,144
144,1,-0.0199,164
164,3,-0.0199,165
165,3,-0.0199,166
166,3,-0.0199,167
167,3,-0.0199,168
168,3,-0.0199,169
169,3,-0.0199,170
170,1,-0.0199,190
190,0,-0.0199,170
170,1,-0.0199,190
190,1,-0.0199,210
210,1,-0.0199,230
230,1,-0.0199,250
250,3,-0.0199,251
251,2,-0.0199,250
250,3,-0.0199,251
251,3,-0.0199,252
252,3,-0.0199,253
253,3,-0.0199,254
254,3,-0.0199,255
255,1,-0.0199,275
275,1,-0.0199,295
295,0,-0.0199,275
275,0,-0.0199,255
255,1,-0.0199,275
275,1,-0.0199,295
295,1,-0.0199,315
315,1,-0.0199,335
335,3,-0.0199,336
336,3,-0.0199,337
337,3,-0.0199,338
338,1,-0.0199,358
358,1,-0.0199,378
378,2,-0.0199,378
378,1,-0.0199,398
398,3,-0.0199,399
399,0,9.89,399
295,1,-0.0199,315
315,3,-0.0199,315
315,1,-0.0199,335
335,3,-0.0199,336
336,3,-0.0199,337
337,3,-0.0199,338
338,1,-0.0199,358
358,1,-0.0199,378
378,1,-0.0199,398
398,0,-0.0199,378
378,2,-0.0199,378
378,1,-0.0199,398
398,0,-0.0199,378
378,1,-0.0199,398
398,0,-0.0199,378
378,1,-0.0199,398
398,0,-0.0199,378
378,1,-0.0199,398
398,0,-0.0199,378
378,1,-0.0199,398
398,0,-0.0199,378
378,1,-0.0199,398
398,0,-0.0199,378
378,1,-0.0199,398
398,0,-0.0199,378
378,0,-0.0199,358
358,1,-0.0199,378
378,2,-0.0199,378
378,1,-0.0199,398
398,0,-0.0199,378
378,1,-0.0199,398
398,1,-0.0199,398
398,0,-0.0199,378
378,1,-0.0199,398
398,1,-0.0199,398
398,0,-0.0199,378
378,1,-0.0199,398
398,0,-0.0199,378
378,1,-0.0199,398
398,3,-0.0199,399
399,0,9.89,399
190,1,-0.0199,210
210,0,-0.0199,190
190,1,-0.0199,210
210,1,-0.0199,230
230,1,-0.0199,250
250,1,-0.0199,250
250,3,-0.0199,251
251,3,-0.0199,252
252,3,-0.0199,253
253,3,-0.0199,254
254,1,-0.0199,254
254,1,-0.0199,254
254,3,-0.0199,255
255,1,-0.0199,275
275,0,-0.0199,255
255,0,-0.0199,255
255,1,-0.0199,275
275,1,-0.0199,295
295,1,-0.0199,315
315,1,-0.0199,335
335,1,-0.0199,335
335,3,-0.0199,336
336,3,-0.0199,337
337,3,-0.0199,338
338,1,-0.0199,358
358,1,-0.0199,378
378,1,-0.0199,398
398,0,-0.0199,378
378,1,-0.0199,398
398,0,-0.0199,378
378,1,-0.0199,398
398,0,-0.0199,378
378,1,-0.0199,398
398,1,-0.0199,398
398,0,-0.0199,378
378,1,-0.0199,398
398,0,-0.0199,378
378,1,-0.0199,398
398,0,-0.0199,378
378,1,-0.0199,398
398,0,-0.0199,378
378,1,-0.0199,398
398,0,-0.0199,378
378,1,-0.0199,398
398,3,-0.0199,399
399,0,9.89,399
315,1,-0.0199,335
335,3,-0.0199,336
336,3,-0.0199,337
337,3,-0.0199,338
338,3,-0.0199,338
338,2,-0.0199,337
337,3,-0.0199,338
338,1,-0.0199,358
358,1,-0.0199,378
378,1,-0.0199,398
398,0,-0.0199,378
378,1,-0.0199,398
398,0,-0.0199,378
378,1,-0.0199,398
398,0,-0.0199,378
378,1,-0.0199,398
398,3,-0.0199,399
399,0,-0.0199,399
399,2,9.89,399
252,3,-0.0199,253
253,3,-0.0199,254
254,3,-0.0199,255
255,0,-0.0199,255
255,1,-0.0199,275
275,1,-0.0199,295
295,3,-0.0199,295
295,3,-0.0199,295
295,1,-0.0199,315
315,1,-0.0199,335
335,1,-0.0199,335
335,1,-0.0199,335
335,3,-0.0199,336
336,3,-0.0199,337
337,3,-0.0199,338
338,1,-0.0199,358
358,1,-0.0199,378
378,1,-0.0199,398
398,0,-0.0199,378
378,2,-0.0199,378
378,1,-0.0199,398
398,0,-0.0199,378
378,3,-0.0199,378
378,1,-0.0199,398
398,2,-0.0199,398
398,0,-0.0199,378
378,1,-0.0199,398
398,0,-0.0199,378
378,1,-0.0199,398
398,1,-0.0199,398
398,0,-0.0199,378
378,1,-0.0199,398
398,0,-0.0199,378
378,1,-0.0199,398
398,0,-0.0199,378
378,1,-0.0199,398
398,1,-0.0199,398
398,0,-0.0199,378
378,1,-0.0199,398
398,3,-0.0199,399
399,0,9.89,399
168,3,-0.0199,169
169,1,-0.0199,169
169,3,-0.0199,170
170,1,-0.0199,190
190,1,-0.0199,210
210,1,-0.0199,230
230,1,-0.0199,250
250,3,-0.0199,251
251,3,-0.0199,252
252,3,-0.0199,253
253,0,-0.0199,253
253,1,-0.0199,253
253,0,-0.0199,253
253,1,-0.0199,253
253,0,-0.0199,253
253,3,-0.0199,254
254,1,-0.0199,254
254,3,-0.0199,255
255,2,-0.0199,254
254,3,-0.0199,255
255,0,-0.0199,255
255,1,-0.0199,275
275,1,-0.0199,295
295,1,-0.0199,315
315,1,-0.0199,335
335,0,-0.0199,315
315,1,-0.0199,335
335,1,-0.0199,335
335,3,-0.0199,336
336,3,-0.0199,337
337,3,-0.0199,338
338,1,-0.0199,358
358,1,-0.0199,378
378,1,-0.0199,398
398,0,-0.0199,378
378,2,-0.0199,378
378,1,-0.0199,398
398,3,-0.0199,399
399,0,9.89,399
230,2,-0.0199,230
230,1,-0.0199,250
250,2,-0.0199,250
250,3,-0.0199,251
251,3,-0.0199,252
252,0,-0.0199,252
252,1,-0.0199,252
252,3,-0.0199,253
253,3,-0.0199,254
254,1,-0.0199,254
254,3,-0.0199,255
255,1,-0.0199,275
275,1,-0.0199,295
295,1,-0.0199,315
315,1,-0.0199,335
335,1,-0.0199,335
335,3,-0.0199,336
336,3,-0.0199,337
337,3,-0.0199,338
338,1,-0.0199,358
358,1,-0.0199,378
378,1,-0.0199,398
398,0,-0.0199,378
378,1,-0.0199,398
398,0,-0.0199,378
378,1,-0.0199,398
398,0,-0.0199,378
378,1,-0.0199,398
398,3,-0.0199,399
399,0,9.89,399
254,3,-0.0199,255
255,0,-0.0199,255
255,1,-0.0199,275
275,1,-0.0199,295
295,1,-0.0199,315
315,1,-0.0199,335
335,1,-0.0199,335
335,3,-0.0199,336
336,3,-0.0199,337
337,3,-0.0199,338
338,1,-0.0199,358
358,3,-0.0199,358
358,3,-0.0199,358
358,1,-0.0199,378
378,1,-0.0199,398
398,3,-0.0199,399
399,3,-0.0199,399
399,2,-0.0199,398
398,0,-0.0199,378
378,1,-0.0199,398
398,0,-0.0199,378
378,1,-0.0199,398
398,0,-0.0199,378
378,0,-0.0199,358
358,1,-0.0199,378
378,1,-0.0199,398
398,0,-0.0199,378
378,1,-0.0199,398
398,0,-0.0199,378
378,1,-0.0199,398
398,0,-0.0199,378
378,1,-0.0199,398
398,0,-0.0199,378
378,1,-0.0199,398
398,2,-0.0199,398
398,0,-0.0199,378
378,1,-0.0199,398
398,0,-0.0199,378
378,3,-0.0199,378
378,0,-0.0199,358
358,1,-0.0199,378
378,3,-0.0199,378
378,1,-0.0199,398
398,0,-0.0199,378
378,1,-0.0199,398
398,3,-0.0199,399
399,0,-0.0199,399
399,0,-0.0199,399
399,2,9.89,399
81,3,-0.0199,82
82,3,-0.0199,83
83,3,-0.0199,84
84,1,-0.0199,104
104,2,-0.0199,104
104,1,-0.0199,124
124,1,-0.0199,144
144,1,-0.0199,164
164,0,-0.0199,144
144,1,-0.0199,164
164,0,-0.0199,144
144,1,-0.0199,164
164,3,-0.0199,165
165,3,-0.0199,166
166,3,-0.0199,167
167,3,-0.0199,168
168,3,-0.0199,169
169,3,-0.0199,170
170,1,-0.0199,190
190,0,-0.0199,170
170,1,-0.0199,190
190,1,-0.0199,210
210,1,-0.0199,230
230,1,-0.0199,250
250,3,-0.0199,251
251,0,-0.0199,251
251,1,-0.0199,251
251,3,-0.0199,252
252,3,-0.0199,253
253,3,-0.0199,254
254,1,-0.0199,254
254,2,-0.0199,253
253,3,-0.0199,254
254,3,-0.0199,255
255,1,-0.0199,275
275,1,-0.0199,295
295,1,-0.0199,315
315,1,-0.0199,335
335,3,-0.0199,336
336,3,-0.0199,337
337,3,-0.0199,338
338,1,-0.0199,358
358,1,-0.0199,378
378,1,-0.0199,398
398,0,-0.0199,378
378,3,-0.0199,378
378,1,-0.0199,398
398,1,-0.0199,398
398,0,-0.0199,378
378,0,-0.0199,358
358,1,-0.0199,378
378,1,-0.0199,398
398,0,-0.0199,378
378,1,-0.0199,398
398,3,-0.0199,399
399,1,-0.0199,399
399,0,-0.0199,399
399,2,9.89,399
81,3,-0.0199,82
82,3,-0.0199,83
83,3,-0.0199,84
84,1,-0.0199,104
104,1,-0.0199,124
124,1,-0.0199,144
144,1,-0.0199,164
164,0,-0.0199,144
144,1,-0.0199,164
164,3,-0.0199,165
165,3,-0.0199,166
166,3,-0.0199,167
167,3,-0.0199,168
168,0,-0.0199,168
168,1,-0.0199,168
168,3,-0.0199,169
169,3,-0.0199,170
170,1,-0.0199,190
190,2,-0.0199,190
190,1,-0.0199,210
210,1,-0.0199,230
230,1,-0.0199,250
250,2,-0.0199,250
250,3,-0.0199,251
251,1,-0.0199,251
251,2,-0.0199,250
250,3,-0.0199,251
251,3,-0.0199,252
252,3,-0.0199,253
253,3,-0.0199,254
254,3,-0.0199,255
255,1,-0.0199,275
275,2,-0.0199,275
275,1,-0.0199,295
295,1,-0.0199,315
315,1,-0.0199,335
335,3,-0.0199,336
336,3,-0.0199,337
337,3,-0.0199,338
338,1,-0.0199,358
358,0,-0.0199,338
338,1,-0.0199,358
358,2,-0.0199,358
358,1,-0.0199,378
378,1,-0.0199,398
398,0,-0.0199,378
378,1,-0.0199,398
398,0,-0.0199,378
378,1,-0.0199,398
398,2,-0.0199,398
398,3,-0.0199,399
399,0,9.89,399
40,1,-0.0199,60
60,1,-0.0199,80
80,1,-0.0199,100
100,1,-0.0199,120
120,0,-0.0199,100
100,0,-0.0199,80
80,1,-0.0199,100
100,0,-0.0199,80
80,1,-0.0199,100
100,0,-0.0199,80
80,1,-0.0199,100
100,0,-0.0199,80
80,1,-0.0199,100
100,0,-0.0199,80
80,1,-0.0199,100
100,3,-0.0199,100
100,0,-0.0199,80
80,1,-0.0199,100
100,0,-0.0199,80
80,1,-0.0199,100
100,0,-0.0199,80
80,1,-0.0199,100
100,0,-0.0199,80
80,1,-0.0199,100
100,3,-0.0199,100
100,0,-0.0199,80
80,1,-0.0199,100
100,1,-0.0199,120
120,0,-0.0199,100
100,0,-0.0199,80
80,1,-0.0199,100
100,0,-0.0199,80
80,1,-0.0199,100
100,0,-0.0199,80
80,1,-0.0199,100
100,0,-0.0199,80
80,1,-0.0199,100
100,0,-0.0199,80
80,1,-0.0199,100
100,0,-0.0199,80
80,0,-0.0199,60
60,1,-0.0199,80
80,1,-0.0199,100
100,1,-0.0199,120
120,0,-0.0199,100
100,2,-0.0199,100
100,0,-0.0199,80
80,1,-0.0199,100
100,0,-0.0199,80
80,1,-0.0199,100
100,1,-0.0199,120
120,0,-0.0199,100
100,0,-0.0199,80
80,1,-0.0199,100
100,1,-0.0199,120
